Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
J4,TF-01A,Bottom,TF-01A,138.5062,84.2446,180,Standard Card Edge Connectors
J2,PZ254V-11-04P,Top,HDRV4W64P0X254_1X4_1016X250X890P,110.617,85.09,90,Connector
R27,Resistor,Bottom,RESC1608X55X25LL10T15,114.427,88.138,180,470 Resistor 0603 0603WAF4700T5E
D7,Light-Emitting Diode,Top,LTST-C191KRKT_V,114.554,88.138,0,Red Light-Emitting Diode 0603 KT-0603R
D4,Light-Emitting Diode,Top,LTST-C191KRKT_V,114.554,89.465,0,Red Light-Emitting Diode 0603 KT-0603R
D6,Light-Emitting Diode,Top,LTST-C191KRKT_V,114.554,86.741,0,Red Light-Emitting Diode 0603 KT-0603R
R22,Resistor,Bottom,RESC1608X55X25LL10T15,114.427,89.408,180,470 Resistor 0603 0603WAF4700T5E
R25,Resistor,Bottom,RESC1608X55X25LL10T15,114.466,86.741,180,470 Resistor 0603 0603WAF4700T5E
S1,TS-1109S-C-A,Top,TS1109SCA,117.5896,94.2524,180,Switch (4-Pin Push)
J1,TYPE-C_16PIN_2MD_(073),Top,SHOUHAN_TYPE-C_16PIN_2MD_(073),148.0545,87.884,90,DC-5V 5A Type C USB
J3,B2B-PH-K-S(LF)(SN),Top,JST-B2B-PH-K-S_V,145.5559,94.906,180,"Male Header, Pitch 2 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"
Y1,X32258MOB4SI,Top,X32258MOB4SI,119.423,88.4254,180,Crystal or Oscillator
U4,AP2112K-3.3TRG1,Top,FP-SOT25-IPC_C,140.4481,78.3169,270,IC REG LINEAR 3.3V 600MA SOT25
U2,LSM6DSO32TR,Top,FP-LGA-14L-DM00249496-MFG,121.5924,77.3115,270,INEMO INERTIAL MODULE: 3D ACCELE
U1,BMP388,Top,PQFN50P200X200X80-10N,119.823,83.3005,180,"P-Sensor SPI I2C 1, 25 Bar SMD"
R26,Resistor,Top,RESC0402(1005)_L,128.7308,93.5614,270,10k Resistor 0402 0402WGF1002TCE
R24,Resistor,Top,RESC1608X55X25LL10T15,136.652,96.012,0,470 Resistor 0603 0603WAF4700T5E
R23,Resistor,Top,RESC0402(1005)_L,123.1166,93.3357,90,10k Resistor 0402 0402WGF1002TCE
R21,Resistor,Top,RESC1608X55X25LL10T15,137.6461,77.95,270,470 Resistor 0603 0603WAF4700T5E
R20,Resistor,Top,RESC0402(1005)_L,130.1459,77.8514,90,22 Resistor 0402 0402WGF220JTCE
R19,Resistor,Top,RESC0402(1005)_L,127.381,78.486,0,22 Resistor 0402 0402WGF220JTCE
R18,Resistor,Top,RESC0402(1005)_L,124.079,76.327,270,10k Resistor 0402 0402WGF1002TCE
R17,Resistor,Top,RESC0402(1005)_L,129.1189,77.8468,270,22 Resistor 0402 0402WGF220JTCE
R16,Resistor,Bottom,RESC0402(1005)_L,121.158,85.979,90,4k7 Resistor 0402 0402WGF4701TCE
R15,Resistor,Top,RESC0402(1005)_L,122.1,83.1819,270,4k7 Resistor 0402 0402WGF4701TCE
R14,Resistor,Bottom,RESC0402(1005)_L,148.971,90.297,180,5k1 Resistor 0402 0402WGF5101TCE
R13,Resistor,Top,RESC0402(1005)_L,138.131,84.6568,180,22 Resistor 0402 0402WGF220JTCE
R12,Resistor,Top,RESC0402(1005)_L,132.08,93.726,270,22 Resistor 0402 0402WGF220JTCE
R11,Resistor,Bottom,RESC0402(1005)_L,147.955,86.868,270,5k1 Resistor 0402 0402WGF5101TCE
R10,Resistor,Bottom,RESC0402(1005)_L,132.08,93.726,180,22 Resistor 0402 0402WGF220JTCE
R9,Resistor,Bottom,RESC0402(1005)_L,132.3295,91.2385,0,22 Resistor 0402 0402WGF220JTCE
R8,Resistor,Top,RESC0402(1005)_L,138.131,85.7227,0,22 Resistor 0402 0402WGF220JTCE
R7,Resistor,Top,RESC0402(1005)_L,133.6471,93.154,180,22 Resistor 0402 0402WGF220JTCE
R6,Resistor,Bottom,RESC0402(1005)_L,144.3624,92.069,90,10k Resistor 0402 0402WGF1002TCE
R5,Resistor,Bottom,RESC0402(1005)_L,135.128,94.234,270,10k Resistor 0402 0402WGF1002TCE
R4,Resistor,Top,RESC0402(1005)_L,129.921,94.488,270,10k Resistor 0402 0402WGF1002TCE
R3,Resistor,Bottom,RESC0402(1005)_L,140.97,93.599,270,10k Resistor 0402 0402WGF1002TCE
R2,Resistor,Top,RESC0402(1005)_L,141.097,85.217,180,10k Resistor 0402 0402WGF1002TCE
R1,Resistor,Top,RESC0402(1005)_L,138.179,83.6298,0,10k Resistor 0402 0402WGF1002TCE
P1,SM06B-SRSS-TB(LF)(SN),Bottom,JST-SM06B-SRSS-TB_V,126.492,95.2455,0,"Male Header, Pitch 1 mm, 1 x 6 Position, Height 2.95 mm, -25 to 85 degC, RoHS, Tape and Reel"
IC1,USBLC6-2SC6,Top,SOT95P280X145-6N,141.732,88.011,0,Integrated Circuit
D5,Light-Emitting Diode,Top,LTST-C191KRKT_V,139.319,96.012,0,Red Light-Emitting Diode 0603 KT-0603R
D3,Light-Emitting Diode,Top,LTST-C191KRKT_V,136.9406,76.173,180,Red Light-Emitting Diode 0603 KT-0603R
D2,SMF5.0AT1G,Top,ONSC-SOD-123FL-2-498_V,141.605,83.058,180,"200 W Transient Voltage Suppressor, 2-Pin SOD-123FL, Pb-Free, Tape and Reel"
D1,SMF5.0AT1G,Bottom,ONSC-SOD-123FL-2-498_V,145.591,96.901,180,"200 W Transient Voltage Suppressor, 2-Pin SOD-123FL, Pb-Free, Tape and Reel"
C18,Capacitor,Top,CAPC0402(1005)60_L,118.1085,85.3984,0,18p Capacitor 0402 0402CG180J500NT
C17,Capacitor,Top,CAPC0402(1005)60_L,123.127,88.1417,270,18p Capacitor 0402 0402CG180J500NT
C16,Capacitor,Top,CAPC1608X90X40LL10T20,143.9791,80.971,180,2.2u Capacitor 0603 CL10A225KO8NNNC
C15,Capacitor,Top,CAPC1608X90X40LL10T20,145.034,77.089,180,4.7u Capacitor 0603 CL10A475KO8NNNC
C14,Capacitor,Top,CAPC0402(1005)60_L,119.1154,76.2459,270,100n Capacitor 0402 CL05B104KO5NNNC
C13,Capacitor,Top,CAPC0402(1005)60_L,119.1154,78.2429,270,100n Capacitor 0402 CL05B104KO5NNNC
C12,Capacitor,Bottom,CAPC0402(1005)60_L,127.0399,80.127,0,100n Capacitor 0402 CL05B104KO5NNNC
C11,Capacitor,Top,CAPC0402(1005)60_L,134.1355,78.1,90,100n Capacitor 0402 CL05B104KO5NNNC
C10,Capacitor,Top,CAPC1608X90X40LL10T20,132.9093,77.9,90,2.2u Capacitor 0603 CL10A225KO8NNNC
C9,Capacitor,Top,CAPC0402(1005)60_L,123.127,83.6352,90,100n Capacitor 0402 CL05B104KO5NNNC
C8,Capacitor,Top,CAPC0402(1005)60_L,121.1457,81.0385,90,100n Capacitor 0402 CL05B104KO5NNNC
C7,Capacitor,Top,CAPC0402(1005)60_L,119.3619,81.4885,0,100n Capacitor 0402 CL05B104KO5NNNC
C6,Capacitor,Top,CAPC0402(1005)60_L,123.127,90.0879,270,100n Capacitor 0402 CL05B104KO5NNNC
C5,Capacitor,Top,CAPC0402(1005)60_L,137.731,89.6983,90,100n Capacitor 0402 CL05B104KO5NNNC
C4,Capacitor,Top,CAPC0402(1005)60_L,140.589,90.932,180,100n Capacitor 0402 CL05B104KO5NNNC
C3,Capacitor,Top,CAPC1608X90X40LL10T20,140.73,92.059,180,4.7u Capacitor 0603 CL10A475KO8NNNC
C2,Capacitor,Top,CAPC0402(1005)60_L,126.619,93.218,180,100n Capacitor 0402 CL05B104KO5NNNC
C1,Capacitor,Top,CAPC1608X90X40LL10T20,125.0147,93.804,270,2.2u Capacitor 0603 CL10A225KO8NNNC
B1,STM32U575RGT6,Top,QFP50P1200X1200X160-64N,130.429,85.852,0,"Ultra-low-power Arm Cortex-M33 32-bit MCU+TrustZone+FPU, 240 DMIPS, up to 2 MB Flash memory, 786 KB SRAM"
