Designator,Mid X,Mid Y,Layer,Rotation
B1,130.429,85.852,T,0
C1,125.0147,93.804,T,270
C2,126.619,93.218,T,180
C3,140.73,92.059,T,180
C4,140.589,90.932,T,180
C5,137.731,89.6983,T,90
C6,123.127,90.0879,T,270
C7,119.3619,81.4885,T,0
C8,121.1457,81.0385,T,90
C9,123.127,83.6352,T,90
C10,132.9093,77.9,T,90
C11,134.1355,78.1,T,90
C12,127.0399,80.127,B,0
C13,119.1154,78.2429,T,270
C14,119.1154,76.2459,T,270
C15,145.034,77.089,T,180
C16,143.9791,80.971,T,180
C17,123.127,88.1417,T,270
C18,118.1085,85.3984,T,0
C19,128.524,89.027,B,180
D1,145.591,96.901,B,180
D2,141.605,83.058,T,180
D3,136.9406,76.173,T,180
D4,114.554,89.465,T,0
D5,139.319,96.012,T,0
D6,114.554,86.741,T,0
D7,114.554,88.138,T,0
IC1,141.732,88.011,T,0
J1,148.0545,87.884,T,90
J2,110.617,85.09,T,90
J3,145.5559,94.906,T,180
J4,138.5062,84.2446,B,180
P1,126.492,95.2455,B,0
R1,138.179,83.6298,T,0
R2,141.097,85.217,T,180
R3,140.97,93.599,B,270
R4,129.921,94.488,T,270
R5,135.128,94.234,B,270
R6,144.3624,92.069,B,90
R7,133.6471,93.154,T,180
R8,138.131,85.7227,T,0
R9,132.3295,91.2385,B,0
R10,132.08,93.726,B,180
R11,147.955,86.868,B,270
R12,132.08,93.726,T,270
R13,138.131,84.6568,T,180
R14,148.971,90.297,B,180
R15,122.1,83.1819,T,270
R16,121.158,85.979,B,90
R17,129.1189,77.8468,T,270
R18,124.079,76.327,T,270
R19,127.381,78.486,T,0
R20,130.1459,77.8514,T,90
R21,137.6461,77.95,T,270
R22,114.427,89.408,B,180
R23,123.1166,93.3357,T,90
R24,136.652,96.012,T,0
R25,114.466,86.741,B,180
R26,128.7308,93.5614,T,270
R27,114.427,88.138,B,180
S1,117.5896,94.2524,T,180
U1,119.823,83.3005,T,180
U2,121.5924,77.3115,T,270
U4,140.4481,78.3169,T,270
Y1,119.423,88.4254,T,180
